,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 00:37:00,0.0,106.894,106.909,106.892,106.9,1000000.0,106.892,106.908,106.891,106.899,1000000.0,0.0,0.0
2018-03-13 00:38:00,0.0,106.893,106.895,106.892,106.894,1000000.0,106.891,106.894,106.89,106.892,1000000.0,0.0,0.0
2018-03-13 00:39:00,0.0,106.901,106.905,106.889,106.893,1000000.0,106.899,106.904,106.887,106.891,1000000.0,0.0,0.0
2018-03-13 00:40:00,0.0,106.928,106.928,106.901,106.901,1000000.0,106.925,106.926,106.899,106.899,1000000.0,0.0,0.0
2018-03-13 00:41:00,0.0,106.926,106.935,106.919,106.928,1000000.0,106.925,106.935,106.917,106.925,1000000.0,0.0,0.0
2018-03-13 00:42:00,0.0,106.904,106.927,106.904,106.926,1000000.0,106.902,106.927,106.902,106.925,1000000.0,0.0,0.0
2018-03-13 00:43:00,0.0,106.898,106.91,106.889,106.904,1000000.0,106.897,106.909,106.888,106.902,1000000.0,0.0,0.0
2018-03-13 00:44:00,0.0,106.919,106.92,106.898,106.898,1000000.0,106.917,106.917,106.896,106.897,1000000.0,0.0,0.0
2018-03-13 00:45:00,0.0,106.94,106.95,106.918,106.919,1000000.0,106.938,106.948,106.916,106.917,1000000.0,0.0,0.0
2018-03-13 00:46:00,0.0,106.937,106.945,106.929,106.94,1000000.0,106.934,106.944,106.928,106.938,1000000.0,0.0,0.0
2018-03-13 00:47:00,0.0,106.942,106.947,106.931,106.937,1000000.0,106.94,106.946,106.929,106.934,1000000.0,0.0,0.0
2018-03-13 00:48:00,0.0,106.934,106.942,106.923,106.942,1000000.0,106.932,106.94,106.922,106.94,1000000.0,0.0,0.0
2018-03-13 00:49:00,0.0,106.945,106.948,106.929,106.934,1000000.0,106.943,106.948,106.928,106.932,1000000.0,0.0,0.0
2018-03-13 00:50:00,9000.0,106.952,106.953,106.944,106.945,1000040.1873625001,106.95,106.952,106.942,106.943,37492.59373750014,0.0,0.0
2018-03-13 00:51:00,9000.0,106.945,106.955,106.931,106.952,999968.1875425,106.942,106.953,106.931,106.95,37492.59373750014,0.0,0.0
2018-03-13 00:52:00,9000.0,106.945,106.949,106.942,106.945,999986.1874975001,106.944,106.947,106.94,106.942,37492.59373750014,0.0,0.0
2018-03-13 00:53:00,9000.0,106.945,106.95,106.94,106.945,999986.1874975001,106.944,106.949,106.937,106.944,37492.59373750014,0.0,0.0
2018-03-13 00:54:00,9000.0,106.932,106.946,106.928,106.945,999869.18779,106.931,106.945,106.927,106.944,37492.59373750014,0.0,0.0
2018-03-13 00:55:00,9000.0,106.936,106.939,106.932,106.932,999896.1877225001,106.934,106.939,106.931,106.931,37492.59373750014,0.0,0.0
2018-03-13 00:56:00,9000.0,106.932,106.938,106.932,106.936,999869.18779,106.931,106.939,106.931,106.934,37492.59373750014,0.0,0.0
2018-03-13 00:57:00,9000.0,106.932,106.933,106.927,106.932,999869.18779,106.931,106.932,106.926,106.931,37492.59373750014,0.0,0.0
2018-03-13 00:58:00,9000.0,106.93,106.939,106.929,106.932,999851.1878350001,106.929,106.937,106.929,106.931,37492.59373750014,0.0,0.0
2018-03-13 00:59:00,9000.0,106.927,106.931,106.924,106.93,999824.1879025,106.926,106.929,106.923,106.929,37492.59373750014,0.0,0.0
2018-03-13 01:00:00,9000.0,106.932,106.936,106.922,106.927,999869.18779,106.931,106.935,106.921,106.926,37492.59373750014,0.0,0.0
2018-03-13 01:01:00,9000.0,106.949,106.95,106.928,106.932,1000013.18743,106.947,106.949,106.926,106.931,37492.59373750014,0.0,0.0
2018-03-13 01:02:00,9000.0,106.965,106.965,106.94,106.949,1000166.1870475,106.964,106.964,106.938,106.947,37492.59373750014,0.0,0.0
2018-03-13 01:03:00,9000.0,106.976,106.981,106.962,106.965,1000265.1868,106.975,106.979,106.959,106.964,37492.59373750014,0.0,0.0
2018-03-13 01:04:00,9000.0,106.979,106.984,106.976,106.976,1000283.186755,106.977,106.982,106.974,106.975,37492.59373750014,0.0,0.0
2018-03-13 01:05:00,9000.0,106.987,106.997,106.979,106.979,1000373.18653,106.987,106.996,106.977,106.977,37492.59373750014,0.0,0.0
2018-03-13 01:06:00,9000.0,106.986,106.991,106.978,106.987,1000355.186575,106.985,106.988,106.977,106.987,37492.59373750014,0.0,0.0
2018-03-13 01:07:00,9000.0,107.002,107.004,106.986,106.986,1000499.1862150001,107.001,107.003,106.985,106.985,37492.59373750014,0.0,0.0
2018-03-13 01:08:00,9000.0,106.994,107.002,106.986,107.002,1000427.186395,106.993,107.001,106.984,107.001,37492.59373750014,0.0,0.0
2018-03-13 01:09:00,9000.0,107.014,107.023,106.993,106.994,1000607.185945,107.013,107.022,106.992,106.993,37492.59373750014,0.0,0.0
2018-03-13 01:10:00,9000.0,107.012,107.022,107.005,107.014,1000589.18599,107.011,107.019,107.003,107.013,37492.59373750014,0.0,0.0
2018-03-13 01:11:00,9000.0,107.075,107.085,107.012,107.012,1001138.1846175,107.072,107.083,107.011,107.011,37492.59373750014,0.0,0.0
